name
velthomer
njorun
aed
wolfbeil
bravelance
lightbrand
valflame
nordion
kia
falchion
cheery
self-driven
sableknight
maskedknight
wayfarer
durandal
brightbard
ninisgrace
pherae
generous
emblems
picnic
resplendent
nifl
drowsy
noda
moneylover
zura
android
male
badminton
sign
madao
signorina
wry
ripple
hierophant
dracometeor
myths
ten-nil
hmm
pokepals
ginkgo
powdersnow
x-rayvision
firespin
ignite
blueeyes
pharaoh
games
prana
redeyes
ronin
sen
subordinate
icefairy
unowen
nintendo
totaldrag
museum
constellation
bloodscythe
forblaze
rush
